time,close,high,low,open,volume,ticker
2023-10-23,15033.87109375,15240.759824562132,14964.909371020794,15240.759824562132,3171752,ACB
2023-10-24,15102.8349609375,15240.760191024565,15033.871455237817,15137.315823131192,4452331,ACB
2023-10-25,15102.8349609375,15344.20455891794,15102.8349609375,15309.721915411948,3487565,ACB
2023-10-26,14551.1337890625,14999.391251862351,14447.689416625539,14999.391251862351,16936543,ACB
2023-10-27,14861.4658203125,14964.910191389334,14620.09621490401,14792.502312490495,4206740,ACB
2023-10-30,14689.05859375,14930.428195242434,14689.05859375,14895.946441890874,5100221,ACB
2023-10-31,14758.0205078125,14861.464872290551,14654.576143334447,14723.538756101108,4614731,ACB
2023-11-01,14895.9462890625,14930.428042060288,14723.539305385872,14758.02105838366,6391378,ACB
2023-11-02,15378.685546875,15378.685546875,14895.946346966388,14999.390715705706,6808363,ACB
2023-11-03,15206.279296875,15447.647113035908,15206.279296875,15378.685388793447,8894473,ACB
2023-11-06,15309.72265625,15413.167029149052,15240.760928525557,15309.72265625,6084822,ACB
2023-11-07,15240.7607421875,15344.20511382181,15240.7607421875,15240.7607421875,5947282,ACB
2023-11-08,15723.4990234375,15792.460746230397,15206.278977241735,15240.759838638183,10731955,ACB
2023-11-09,15551.091796875,15792.461399255393,15551.091796875,15792.461399255393,6300258,ACB
2023-11-10,15447.6474609375,15585.574475153315,15344.204872244145,15447.6474609375,6675583,ACB
2023-11-13,15482.1298828125,15585.574251332653,15309.72200817481,15482.1298828125,4618170,ACB
2023-11-14,15654.5361328125,15792.461365115658,15482.130037761635,15482.130037761635,13623337,ACB
2023-11-15,16033.8310546875,16206.238931993852,15826.94409575715,15861.424958693486,42760921,ACB
2023-11-16,16068.3125,16137.276009684507,15930.387261943391,16033.83163581395,11264130,ACB
2023-11-17,15654.5361328125,16137.275336529716,15551.091763257049,16137.275336529716,16333404,ACB
2023-11-20,15516.611328125,15826.944445343688,15275.241719614589,15447.647819416721,13499551,ACB
2023-11-21,15585.5751953125,15723.500434589057,15516.611685018011,15620.056059803535,4907797,ACB
2023-11-22,15654.5361328125,15689.016995560207,15413.166530953893,15516.610900509342,6128598,ACB
2023-11-23,15309.72265625,15689.017502671599,15309.72265625,15654.536638809377,6853063,ACB
2023-11-24,15206.279296875,15378.685388793447,15033.871423644256,15378.685388793447,10445501,ACB
2023-11-27,15068.3525390625,15240.760415191397,15068.3525390625,15206.279552490549,4310027,ACB
2023-11-28,15102.8349609375,15240.760191024565,14964.909730850433,15102.8349609375,6121852,ACB
2023-11-29,15206.279296875,15413.166250914677,15171.796653441474,15171.796653441474,7695363,ACB
2023-11-30,15137.31640625,15378.686013528468,15137.31640625,15206.279914606292,6961112,ACB
2023-12-01,15137.31640625,15275.241641650215,14999.391170849787,15275.241641650215,7584140,ACB
2023-12-04,15378.685546875,15482.12991561432,15171.796809396361,15206.279453184345,11983174,ACB
2023-12-05,15275.2412109375,15482.129948860407,15206.279485838077,15378.685579898955,6027955,ACB
2023-12-06,15378.685546875,15378.685546875,15171.796809396361,15275.24117813568,3692287,ACB
2023-12-07,15447.6474609375,15516.610968045408,15309.722228034023,15378.685735141931,9571726,ACB
2023-12-08,15447.6474609375,15551.091830943193,15378.685735141931,15447.6474609375,5042031,ACB
2023-12-11,15447.6474609375,15516.610968045408,15344.204872244145,15482.130105147622,3007894,ACB
2023-12-12,15516.611328125,15516.611328125,15378.68609202082,15482.13046442705,4269296,ACB
2023-12-13,15378.685546875,15551.091640565655,15378.685546875,15516.610778089987,5422117,ACB
2023-12-14,15516.611328125,15689.01742792713,15378.68609202082,15447.647819416721,9185688,ACB
2023-12-15,15689.017578125,15757.981087493496,15551.0923407004,15585.574986040847,8185084,ACB
2023-12-18,15723.4990234375,15723.4990234375,15620.054657935896,15654.535519332345,10051000,ACB
2023-12-19,15895.90625,15930.387113865543,15723.500149359908,15723.500149359908,15550484,ACB
2023-12-20,15999.349609375,16033.830471056232,15895.90524301903,15895.90524301903,11931066,ACB
2023-12-21,16033.8310546875,16033.8310546875,15895.90582162982,15999.350191751164,9602394,ACB
2023-12-22,15999.349609375,16068.311332737465,15999.349609375,15999.349609375,5964475,ACB
2023-12-25,16102.7939453125,16171.755668544694,15999.349579151938,16033.830440768035,10027724,ACB
2023-12-26,16033.8310546875,16137.275424808844,16033.8310546875,16137.275424808844,7701975,ACB
2023-12-27,16068.3125,16137.276009684507,15999.350771627898,15999.350771627898,6435285,ACB
2023-12-28,16378.64453125,16516.56976012463,16068.31143029787,16068.31143029787,14767035,ACB
2023-12-29,16482.087890625,16620.013111067765,16413.12438974753,16482.087890625,13579747,ACB
2024-01-02,16861.3828125,17068.271535296677,16516.56886827627,16516.56886827627,18360928,ACB
2024-01-03,17240.677734375,17240.677734375,16723.457705166824,16895.863787798815,13116556,ACB
2024-01-04,17447.568359375,17688.93797014266,17309.64134066857,17378.604850021784,31194865,ACB
2024-01-05,17551.009765625,17551.009765625,17275.159309474413,17447.567180552734,12394603,ACB
2024-01-08,17482.048828125,17757.89929667607,17378.604457090263,17723.418433435276,16509957,ACB
2024-01-09,17240.677734375,17482.047318847108,17206.196874111043,17413.08381700699,20498088,ACB
2024-01-10,17413.083984375,17585.49184997631,17240.677900085906,17378.603123779623,23517091,ACB
2024-01-11,17413.083984375,17757.897934265406,17344.12226318425,17516.528347473344,13137053,ACB
2024-01-12,17792.37890625,18068.231136676626,17275.15886883244,17344.122371767156,34060326,ACB
2024-01-15,17447.568359375,17930.30579959792,17447.568359375,17930.30579959792,19748099,ACB
2024-01-16,17516.529296875,17619.973665580063,17275.159697000625,17516.529296875,17166314,ACB
2024-01-17,17516.529296875,17792.379759213625,17482.04843441075,17551.01015933925,13508411,ACB
2024-01-18,17654.455078125,17757.899450053203,17482.04897911958,17551.0107061968,14204046,ACB
2024-01-19,17895.82421875,17895.82421875,17688.937261602125,17792.3798495199,16929719,ACB
2024-01-22,18137.1953125,18137.1953125,17792.38131379302,18068.233581546086,15911262,ACB
2024-01-23,17964.787109375,18240.637563655524,17964.787109375,18102.712336515262,15673608,ACB
2024-01-24,17792.37890625,17999.267633741914,17723.417184627513,17964.78677293067,15743040,ACB
2024-01-25,17792.37890625,17861.342409184712,17654.453681692798,17826.861548373472,7030807,ACB
2024-01-26,18137.1953125,18206.158824766382,17826.863960582446,17826.863960582446,9166247,ACB
2024-01-29,17895.82421875,18275.11905171882,17895.82421875,18275.11905171882,15820406,ACB
2024-01-30,17895.82421875,18068.232094570943,17861.34335611074,17964.78772534084,20264204,ACB
2024-01-31,17757.8984375,17999.268031132146,17619.973209897667,17999.268031132146,16872587,ACB
2024-02-01,17930.3046875,17999.268192575866,17723.41773489697,17723.41773489697,8399329,ACB
2024-02-02,18102.712890625,18137.19375313743,17826.862427900913,17895.824152925776,20524142,ACB
2024-02-05,19171.634765625,19309.55999055039,18033.74854269412,18102.712045812932,38972091,ACB
2024-02-06,19206.115234375,19240.596094574255,19068.190012265786,19206.115234375,21929562,ACB
2024-02-07,19309.560546875,19447.48577577413,19206.11617987258,19206.11617987258,16832118,ACB
2024-02-15,18757.859375,19585.41259698803,18757.859375,19344.04298146287,20160586,ACB
2024-02-16,19033.708984375,19033.708984375,18826.822024328023,18964.747258130123,12689916,ACB
2024-02-19,19102.671875,19102.671875,18757.857910974548,19102.671875,17148725,ACB
2024-02-20,18999.228515625,19137.153752290054,18861.303278959946,18964.747651786834,12400289,ACB
2024-02-21,19102.671875,19240.597104347722,18895.78314032227,18964.746645652278,13834540,ACB
2024-02-22,19068.19140625,19137.15313168997,18964.74703677772,19102.672268969985,14285380,ACB
2024-02-23,18826.822265625,19585.41195191531,18826.822265625,19102.67273676468,34352731,ACB
2024-02-26,18964.74609375,19102.671319083893,18688.895643082215,18826.820868416107,13519467,ACB
2024-02-27,19033.708984375,19102.672491932222,18861.30288745046,19102.672491932222,15942473,ACB
2024-02-28,19309.560546875,19309.560546875,18999.22744586774,19068.190950973447,13900533,ACB
2024-02-29,19309.560546875,19481.96663767084,19102.671812870158,19378.52227066842,13160726,ACB
2024-03-01,19171.634765625,19309.55999055039,18999.226898484085,19309.55999055039,14803800,ACB
2024-03-04,19171.634765625,19447.48521547578,18895.782534461985,19171.634765625,18404571,ACB
2024-03-05,19275.078125,19309.560768604955,18999.22766403417,19171.635538122042,8573238,ACB
2024-03-06,19033.708984375,19413.003822658862,18999.22812125256,19309.561233291548,12949391,ACB
2024-03-07,18964.74609375,19102.671319083893,18895.782590426934,19033.707815760827,13444270,ACB
2024-03-08,18654.4140625,19068.191543364494,18619.93319953207,18964.74717314837,33084982,ACB
2024-03-11,18447.52734375,18688.896950295202,18378.563835603214,18654.414305565628,17147270,ACB
2024-03-12,18447.52734375,18516.489070584423,18344.082972186003,18378.563835603214,10993413,ACB
2024-03-13,19068.19140625,19068.19140625,18447.52697072864,18447.52697072864,11949185,ACB
2024-03-14,18792.337890625,19033.707475978536,18654.412667753295,19033.707475978536,10876637,ACB
2024-03-15,18861.302734375,18895.783597217596,18619.933131852158,18792.339227377473,11906203,ACB
2024-03-18,18550.970703125,18861.302019572144,18413.043694357082,18757.85765365234,18870488,ACB
2024-03-19,18516.490234375,18654.415478025025,18447.528503206224,18482.009368790612,9615237,ACB
